Publication Years	Record Count	% of 211,116
2020	20533	9.726
2021	20459	9.691
2019	18573	8.798
2018	16523	7.827
2017	15025	7.117
2016	14235	6.743
2015	13265	6.283
2014	11557	5.474
2013	10633	5.037
2012	9896	4.687
2011	9126	4.323
2010	8156	3.863
2009	7160	3.392
2008	5525	2.617
2007	4718	2.235
2006	3819	1.809
2005	3540	1.677
2004	2637	1.249
2003	2538	1.202
2002	2003	0.949
2001	1702	0.806
2000	1556	0.737
1999	1450	0.687
1998	1302	0.617
1997	996	0.472
1996	972	0.460
1995	925	0.438
2022	895	0.424
1994	534	0.253
1993	388	0.184
1992	298	0.141
1991	121	0.057
1990	34	0.016
1989	13	0.006
1988	7	0.003
1987	2	0.001
