Publication Years	Record Count	% of 370,808
2021	42306	11.409
2020	41494	11.190
2019	36517	9.848
2018	32278	8.705
2017	29422	7.935
2016	26953	7.269
2015	23921	6.451
2014	21397	5.770
2013	19219	5.183
2012	16451	4.437
2011	15593	4.205
2010	13009	3.508
2009	10317	2.782
2008	7403	1.996
2007	5609	1.513
2006	3993	1.077
2005	3227	0.870
2004	2620	0.707
2003	2292	0.618
2022	2035	0.549
2002	1900	0.512
2001	1885	0.508
2000	1731	0.467
1999	1447	0.390
1998	1429	0.385
1997	1215	0.328
1995	1066	0.287
1996	1064	0.287
1994	895	0.241
1993	656	0.177
1992	595	0.160
1991	386	0.104
1990	212	0.057
1989	100	0.027
1988	29	0.008
1987	16	0.004
1983	15	0.004
1982	14	0.004
1986	12	0.003
1981	11	0.003
1977	10	0.003
1978	8	0.002
1980	8	0.002
1984	8	0.002
1985	8	0.002
1971	5	0.001
1975	4	0.001
1979	4	0.001
1974	2	0.001
1976	2	0.001
1910	1	0.000
1915	1	0.000
1916	1	0.000
1924	1	0.000
1925	1	0.000
1931	1	0.000
1935	1	0.000
1939	1	0.000
1941	1	0.000
1942	1	0.000
1957	1	0.000
1959	1	0.000
1969	1	0.000
1970	1	0.000
1973	1	0.000
