Publication Years	Record Count	% of 26,553
2021	3668	13.814
2020	3236	12.187
2019	2882	10.854
2018	2370	8.926
2017	2149	8.093
2016	2001	7.536
2015	1845	6.948
2014	1592	5.996
2013	1397	5.261
2012	1196	4.504
2011	1049	3.951
2010	836	3.148
2009	599	2.256
2008	425	1.601
2007	262	0.987
2006	183	0.689
2022	161	0.606
2005	140	0.527
2004	118	0.444
2003	81	0.305
2002	74	0.279
2001	64	0.241
1998	45	0.169
2000	42	0.158
1999	37	0.139
1997	22	0.083
1992	20	0.075
1996	18	0.068
1995	12	0.045
1993	11	0.041
1994	11	0.041
1991	6	0.023
1990	1	0.004
