Publication Years	Record Count	% of 641,490
2021	67546	10.530
2020	66831	10.418
2019	57816	9.013
2018	51303	7.997
2017	46884	7.309
2016	43670	6.808
2015	39701	6.189
2014	35603	5.550
2013	32605	5.083
2012	28938	4.511
2011	27208	4.241
2010	23532	3.668
2009	19664	3.065
2008	14588	2.274
2007	11839	1.846
2006	9051	1.411
2005	7954	1.240
2004	6403	0.998
2003	5983	0.933
2002	4839	0.754
2001	4533	0.707
2000	4275	0.666
1999	3816	0.595
1998	3603	0.562
1997	3148	0.491
2022	3087	0.481
1995	2872	0.448
1996	2803	0.437
1994	2257	0.352
1993	1764	0.275
1992	1594	0.248
1991	1072	0.167
1990	793	0.124
1989	652	0.102
1987	581	0.091
1988	558	0.087
1986	519	0.081
1985	360	0.056
1984	236	0.037
1983	223	0.035
1982	182	0.028
1981	38	0.006
1977	34	0.005
1980	31	0.005
1978	29	0.005
1974	27	0.004
1979	26	0.004
1946	25	0.004
1921	23	0.004
1971	18	0.003
1973	17	0.003
1912	15	0.002
1975	15	0.002
1933	14	0.002
1976	13	0.002
1963	10	0.002
1968	10	0.002
1970	10	0.002
1964	9	0.001
1969	9	0.001
1927	8	0.001
1928	8	0.001
1941	8	0.001
1965	8	0.001
1930	7	0.001
1945	7	0.001
1961	7	0.001
1972	7	0.001
1904	6	0.001
1924	6	0.001
1944	6	0.001
1951	6	0.001
1954	6	0.001
1955	6	0.001
1956	6	0.001
1966	6	0.001
1967	6	0.001
1915	5	0.001
1922	5	0.001
1949	5	0.001
1952	5	0.001
1960	5	0.001
1910	4	0.001
1926	4	0.001
1931	4	0.001
1938	4	0.001
1939	4	0.001
1943	4	0.001
1957	4	0.001
1958	4	0.001
1959	4	0.001
1962	4	0.001
1900	3	0.000
1905	3	0.000
1911	3	0.000
1925	3	0.000
1929	3	0.000
1947	3	0.000
1953	3	0.000
1901	2	0.000
1907	2	0.000
1908	2	0.000
1916	2	0.000
1917	2	0.000
1920	2	0.000
1936	2	0.000
1937	2	0.000
1902	1	0.000
1903	1	0.000
1906	1	0.000
1913	1	0.000
1914	1	0.000
1918	1	0.000
1923	1	0.000
1932	1	0.000
1934	1	0.000
1935	1	0.000
1940	1	0.000
1942	1	0.000
1948	1	0.000
1950	1	0.000
2023	1	0.000
