Publication Years	Record Count	% of 87,702
2021	8657	9.871
2020	8203	9.353
2019	5740	6.545
2018	4970	5.667
2017	4706	5.366
2016	4591	5.235
2015	4478	5.106
2014	4350	4.960
2013	4245	4.840
2012	3872	4.415
2011	3604	4.109
2010	3263	3.721
2009	2851	3.251
2008	2127	2.425
2007	1808	2.062
2006	1441	1.643
2005	1337	1.524
2004	1276	1.455
2003	1242	1.416
2000	1032	1.177
2002	1018	1.161
2001	1012	1.154
1997	961	1.096
1999	957	1.091
1998	919	1.048
1995	896	1.022
1994	840	0.958
1996	788	0.898
1993	731	0.834
1992	722	0.823
1991	571	0.651
1987	563	0.642
1990	548	0.625
1989	539	0.615
1988	522	0.595
1986	507	0.578
1985	352	0.401
2022	324	0.369
1984	228	0.260
1983	208	0.237
1982	168	0.192
1981	27	0.031
1946	25	0.029
1974	25	0.029
1977	24	0.027
1921	23	0.026
1980	23	0.026
1979	22	0.025
1978	21	0.024
1973	16	0.018
1912	15	0.017
1933	14	0.016
1971	13	0.015
1975	11	0.013
1976	11	0.013
1963	10	0.011
1968	10	0.011
1964	9	0.010
1970	9	0.010
1927	8	0.009
1928	8	0.009
1965	8	0.009
1969	8	0.009
1930	7	0.008
1941	7	0.008
1945	7	0.008
1961	7	0.008
1972	7	0.008
1904	6	0.007
1944	6	0.007
1951	6	0.007
1954	6	0.007
1955	6	0.007
1956	6	0.007
1966	6	0.007
1967	6	0.007
1922	5	0.006
1924	5	0.006
1949	5	0.006
1952	5	0.006
1960	5	0.006
1915	4	0.005
1926	4	0.005
1938	4	0.005
1943	4	0.005
1958	4	0.005
1962	4	0.005
1900	3	0.003
1905	3	0.003
1910	3	0.003
1911	3	0.003
1929	3	0.003
1931	3	0.003
1939	3	0.003
1947	3	0.003
1953	3	0.003
1957	3	0.003
1959	3	0.003
1901	2	0.002
1907	2	0.002
1908	2	0.002
1917	2	0.002
1920	2	0.002
1925	2	0.002
1936	2	0.002
1937	2	0.002
1902	1	0.001
1903	1	0.001
1906	1	0.001
1913	1	0.001
1914	1	0.001
1916	1	0.001
1918	1	0.001
1923	1	0.001
1932	1	0.001
1934	1	0.001
1940	1	0.001
1948	1	0.001
1950	1	0.001
2023	1	0.001
