Publication Years	Record Count	% of 235,048
2021	19927	8.478
2022	18895	8.039
2020	18041	7.675
2019	16440	6.994
2018	14566	6.197
2017	13539	5.760
2016	12887	5.483
2015	12319	5.241
2014	11336	4.823
2013	10572	4.498
2012	10035	4.269
2011	9434	4.014
2010	8451	3.595
2009	7533	3.205
2008	6729	2.863
2007	5961	2.536
2006	5258	2.237
2005	4658	1.982
2004	3800	1.617
2003	3538	1.505
2002	3095	1.317
2001	2749	1.170
2000	2491	1.060
1999	2261	0.962
1998	2032	0.865
1997	1677	0.713
1996	1541	0.656
1995	1319	0.561
1994	1087	0.462
1993	816	0.347
1992	748	0.318
1991	524	0.223
1990	149	0.063
1989	93	0.040
1988	75	0.032
1987	60	0.026
1985	47	0.020
1986	45	0.019
1983	42	0.018
1984	41	0.017
1978	40	0.017
1982	38	0.016
1976	32	0.014
1977	32	0.014
1979	31	0.013
1980	27	0.011
1981	24	0.010
1975	13	0.006
