Publication Years	Record Count	% of 17,580
2021	1752	9.966
2022	1672	9.511
2020	1543	8.777
2019	1368	7.782
2018	1173	6.672
2017	1093	6.217
2016	1046	5.950
2015	937	5.330
2014	850	4.835
2013	794	4.516
2012	757	4.306
2011	619	3.521
2010	553	3.146
2009	468	2.662
2008	397	2.258
2007	346	1.968
2006	311	1.769
2005	277	1.576
2004	243	1.382
2003	206	1.172
2002	176	1.001
2001	165	0.939
2000	156	0.887
1998	128	0.728
1999	123	0.700
1997	105	0.597
1996	75	0.427
1995	70	0.398
1994	51	0.290
1993	49	0.279
1992	37	0.210
1991	25	0.142
1990	5	0.028
1979	3	0.017
1985	3	0.017
1975	1	0.006
1978	1	0.006
1987	1	0.006
1988	1	0.006
