Publication Years	Record Count	% of 282,122
2022	36216	12.837
2021	33595	11.908
2020	27963	9.912
2019	23646	8.381
2018	19904	7.055
2017	17731	6.285
2016	16347	5.794
2015	14572	5.165
2014	13260	4.700
2013	12280	4.353
2012	10590	3.754
2011	9524	3.376
2010	8165	2.894
2009	6747	2.392
2008	5311	1.883
2007	4172	1.479
2006	3113	1.103
2005	2658	0.942
2004	2145	0.760
2003	1848	0.655
2002	1666	0.591
2001	1543	0.547
2000	1439	0.510
1999	1264	0.448
1998	1040	0.369
1997	1037	0.368
1996	894	0.317
1995	874	0.310
1994	644	0.228
1993	602	0.213
1992	528	0.187
1991	415	0.147
1990	187	0.066
1989	79	0.028
1988	23	0.008
1986	14	0.005
1987	14	0.005
1982	11	0.004
1983	11	0.004
1978	9	0.003
1979	9	0.003
1980	6	0.002
1985	6	0.002
1975	5	0.002
1977	5	0.002
1981	4	0.001
1984	4	0.001
1976	2	0.001
