Publication Years	Record Count	% of 17,652
2022	2552	14.457
2021	2374	13.449
2020	1854	10.503
2019	1518	8.600
2018	1261	7.144
2017	1065	6.033
2016	1037	5.875
2015	932	5.280
2014	820	4.645
2013	750	4.249
2012	701	3.971
2011	609	3.450
2010	504	2.855
2009	371	2.102
2008	284	1.609
2007	191	1.082
2006	144	0.816
2005	123	0.697
2004	84	0.476
2002	77	0.436
2003	64	0.363
2000	58	0.329
2001	56	0.317
1998	40	0.227
1999	36	0.204
1997	34	0.193
1995	27	0.153
1996	24	0.136
1992	18	0.102
1994	17	0.096
1993	14	0.079
1991	12	0.068
1990	1	0.006
