Publication Years	Record Count	% of 4,751
2022	621	13.071
2021	562	11.829
2020	532	11.198
2019	395	8.314
2018	363	7.640
2017	307	6.462
2016	276	5.809
2015	258	5.430
2014	238	5.009
2013	196	4.125
2011	180	3.789
2012	175	3.683
2010	146	3.073
2009	125	2.631
2008	89	1.873
2007	49	1.031
2006	37	0.779
2005	35	0.737
2004	26	0.547
2001	24	0.505
2000	19	0.400
2002	17	0.358
2003	15	0.316
1996	13	0.274
1998	12	0.253
1999	10	0.210
1992	8	0.168
1995	6	0.126
1993	5	0.105
1997	5	0.105
1994	4	0.084
1991	3	0.063
