Publication Years	Record Count	% of 1,878,560
2021	159397	8.485
2022	157045	8.360
2020	140082	7.457
2019	119451	6.359
2018	104957	5.587
2017	98535	5.245
2016	93936	5.000
2015	88461	4.709
2014	82830	4.409
2013	78358	4.171
2012	73386	3.907
2011	67892	3.614
2010	61024	3.248
2009	55043	2.930
2008	50164	2.670
2007	44502	2.369
2006	39991	2.129
2005	36632	1.950
2004	32760	1.744
2003	30233	1.609
2002	27668	1.473
2001	26047	1.387
2000	24805	1.320
1999	23225	1.236
1998	21925	1.167
1997	20549	1.094
1996	19110	1.017
1995	16372	0.872
1994	14628	0.779
1993	13523	0.720
1992	12996	0.692
1991	11826	0.630
1990	3556	0.189
1989	2497	0.133
1987	2351	0.125
1988	2311	0.123
1986	2115	0.113
1984	2032	0.108
1983	1978	0.105
1985	1960	0.104
1982	1909	0.102
1981	1715	0.091
1979	1672	0.089
1978	1643	0.087
1980	1634	0.087
1977	1612	0.086
1976	1186	0.063
1975	1036	0.055
