Publication Years	Record Count	% of 1,347,124
2021	104090	7.727
2022	99964	7.421
2020	92609	6.875
2019	78206	5.805
2018	69507	5.160
2017	66399	4.929
2016	63827	4.738
2015	60896	4.520
2014	57589	4.275
2013	54928	4.077
2012	52166	3.872
2011	48499	3.600
2010	44001	3.266
2009	40457	3.003
2008	37909	2.814
2007	34159	2.536
2006	31472	2.336
2005	29166	2.165
2004	26704	1.982
2003	24761	1.838
2002	22806	1.693
2001	21678	1.609
2000	20782	1.543
1999	19653	1.459
1998	18810	1.396
1997	17776	1.320
1996	16637	1.235
1995	14137	1.049
1994	12871	0.955
1993	12079	0.897
1992	11697	0.868
1991	10873	0.807
1990	3217	0.239
1989	2325	0.173
1987	2276	0.169
1988	2212	0.164
1986	2056	0.153
1984	1987	0.147
1983	1925	0.143
1985	1904	0.141
1982	1860	0.138
1981	1687	0.125
1979	1629	0.121
1980	1601	0.119
1978	1593	0.118
1977	1575	0.117
1976	1152	0.086
1975	1017	0.075
