PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Mouritsen, KN; Sorensen, MM; Poulin, R; Fredensborg, BL				Mouritsen, Kim N.; Sorensen, Mikkel M.; Poulin, Robert; Fredensborg, Brian L.			Coastal ecosystems on a tipping point: Global warming and parasitism combine to alter community structure and function	GLOBAL CHANGE BIOLOGY				Article								Mounting evidence suggests that the transmission of certain parasites is facilitated by increasing temperatures, causing their host population to decline. However, no study has yet addressed how temperature and parasitism may combine to shape the functional structure of a whole host community in the face of global warming. Here, we apply an outdoor mesocosm approach supported by field surveys to elucidate this question in a diverse intertidal community of amphipods infected by the pathogenic microphallid trematode, Maritrema novaezealandensis. Under present temperature (17 degrees C) and level of parasitism, the parasite had little impact on the host community. However, elevating the temperature to 21 degrees C in the presence of parasites induced massive structural changes: amphipod abundances decreased species-specifically, affecting epibenthic species but leaving infaunal species largely untouched. In effect, species diversity dropped significantly. In contrast, four degree higher temperatures in the absence of parasitism had limited influence on the amphipod community. Further elevating temperatures (19-25 degrees C) and parasitism, simulating a prolonged heat-wave scenario, resulted in an almost complete parasite-induced extermination of the amphipod community at 25 degrees C. In addition, at 19 degrees C, just two degrees above the present average, a similar temperature-parasite synergistic impact on community structure emerged as seen at 21 degrees C under lower parasite pressure. The heat-wave temperature of 25 degrees C per se affected the amphipod community in a comparable way: species diversity declined and the infaunal species were favoured at the expense of epibenthic species. Our experimental findings are corroborated by field data demonstrating a strong negative relationship between current amphipod species richness and the level of Maritrema parasitism across 12 sites. Hence, owing to the synergistic impact of temperature and parasitism, our study predicts that coastal amphipod communities will deteriorate in terms of abundance and diversity in face of anticipated global warming, functionally changing them to be dominated by infaunal species.	[Mouritsen, Kim N.; Sorensen, Mikkel M.] Aarhus Univ, Dept Biosci, Aquat Biol, Aarhus, Denmark; [Poulin, Robert] Univ Otago, Dept Zool, Dunedin, New Zealand; [Fredensborg, Brian L.] Univ Copenhagen, Dept Plant & Environm Sci, Copenhagen, Denmark		Mouritsen, KN (corresponding author), Aarhus Univ, Dept Biosci, Aquat Biol, Aarhus, Denmark.	kim.mouritsen@bios.au.dk								26	27											SEP	2018	24	9					4340	4356		10.1111/gcb.14312	http://dx.doi.org/10.1111/gcb.14312				Biodiversity Conservation; Ecology; Environmental Sciences				29768693				2023-09-28	WOS:000441746900037
J	Williams, PCM; Bartlett, AW; Howard-Jones, A; McMullan, B; Khatami, A; Britton, PN; Marais, B				Williams, Phoebe C. M.; Bartlett, Adam W.; Howard-Jones, Annaleise; McMullan, Brendan; Khatami, Ameneh; Britton, Philip N.; Marais, Ben J.			Impact of climate change and biodiversity collapse on the global emergence and spread of infectious diseases	JOURNAL OF PAEDIATRICS AND CHILD HEALTH				Article								The reality of climate change and biodiversity collapse is irrefutable in the 21st century, with urgent action required not only to conserve threatened species but also to protect human life and wellbeing. This existential threat forces us to recognise that our existence is completely dependent upon well-functioning ecosystems that sustain the diversity of life on our planet, including that required for human health. By synthesising data on the ecology, epidemiology and evolutionary biology of various pathogens, we are gaining a better understanding of factors that underlie disease emergence and spread. However, our knowledge remains rudimentary with limited insight into the complex feedback loops that underlie ecological stability, which are at risk of rapidly unravelling once certain tipping points are breached. In this paper, we consider the impact of climate change and biodiversity collapse on the ever-present risk of infectious disease emergence and spread. We review historical and contemporaneous infectious diseases that have been influenced by human environmental manipulation, including zoonoses and vector- and water-borne diseases, alongside an evaluation of the impact of migration, urbanisation and human density on transmissible diseases. The current lack of urgency in political commitment to address climate change warrants enhanced understanding and action from paediatricians - to ensure that we safeguard the health and wellbeing of children in our care today, as well as those of future generations.	[Williams, Phoebe C. M.; Howard-Jones, Annaleise; Khatami, Ameneh; Britton, Philip N.; Marais, Ben J.] Univ Sydney, Inst Infect Dis, Sydney, NSW, Australia; [Williams, Phoebe C. M.; Bartlett, Adam W.; McMullan, Brendan] Sydney Childrens Hosp, Dept Infect Dis & Microbiol, Sydney, NSW, Australia; [Williams, Phoebe C. M.; Bartlett, Adam W.; McMullan, Brendan] Univ New South Wales, Sch Womens & Childrens Hlth, Sydney, NSW, Australia; [Howard-Jones, Annaleise; Khatami, Ameneh; Britton, Philip N.; Marais, Ben J.] Childrens Hosp Westmead, Dept Infect Dis & Microbiol, Sydney, NSW, Australia		Marais, B (corresponding author), Childrens Hosp Westmead, Clin Sch, Locked Bag 4001, Sydney, NSW 2145, Australia.	ben.marais@health.nsw.gov.au								9	10											NOV	2021	57	11					1811	1818		10.1111/jpc.15681	http://dx.doi.org/10.1111/jpc.15681				Pediatrics				34792238				2023-09-28	WOS:000719876100018
J	Destoumieux-Garzon, D; Matthies-Wiesler, F; Bierne, N; Binot, A; Boissier, J; Devouge, A; Garric, J; Gruetzmacher, K; Grunau, C; Guegan, JF; Hurtrez-Bousses, S; Huss, A; Morand, S; Palmer, C; Sarigiannis, D; Vermeulen, R; Barouki, R				Destoumieux-Garzon, Delphine; Matthies-Wiesler, Franziska; Bierne, Nicolas; Binot, Aurelie; Boissier, Jerome; Devouge, Anais; Garric, Jeanne; Gruetzmacher, Kim; Grunau, Christoph; Guegan, Jean-Francois; Hurtrez-Bousses, Sylvie; Huss, Anke; Morand, Serge; Palmer, Clare; Sarigiannis, Denis; Vermeulen, Roel; Barouki, Robert			Getting out of crises: Environmental, social-ecological and evolutionary research is needed to avoid future risks of pandemics	ENVIRONMENT INTERNATIONAL				Article								The implementation of One Health/EcoHealth/Planetary Health approaches has been identified as key (i) to address the strong interconnections between risk for pandemics, climate change and biodiversity loss and (ii) to develop and implement solutions to these interlinked crises. As a response to the multiple calls from scientists on that subject, we have here proposed seven long-term research questions regarding COVID-19 and emerging infectious diseases (EIDs) that are based on effective integration of environmental, ecological, evolutionary, and social sciences to better anticipate and mitigate EIDs. Research needs cover the social ecology of infectious disease agents, their evolution, the determinants of susceptibility of humans and animals to infections, and the human and ecological factors accelerating infectious disease emergence. For comprehensive investigation, they include the development of nature-based solutions to interlinked global planetary crises, addressing ethical and philosophical questions regarding the relationship of humans to nature and regarding transformative changes to safeguard the environment and human health. In support of this research, we propose the implementation of innovative multidisciplinary facilities embedded in social ecosystems locally: ecological health observatories and living laboratories. This work was carried out in the frame of the European Community project HERA (www. HERAresearchEU.eu), which aims to set priorities for an environment, climate and health research agenda in the European Union by adopting a systemic approach in the face of global environmental change.	[Destoumieux-Garzon, Delphine; Boissier, Jerome; Grunau, Christoph] Univ Montpellier, Univ Perpignan Via Domitia, CNRS, IFREMER,IHPE, Montpellier, France; [Matthies-Wiesler, Franziska] German Res Ctr Environm Hlth, Helmholtz Zentrum Munchen, Inst Epidemiol, Munich, Germany; [Bierne, Nicolas] Univ Montpellier, CNRS, EPHE, ISEM,IRD, Montpellier, France; [Binot, Aurelie; Guegan, Jean-Francois] Univ Montpellier, Anim Hlth Terr Risks & Ecosyst ASTRE, Natl Res Inst Agr Food & Environm INRAE, Agr Res Dev CIRAD, Montpellier, France; [Devouge, Anais; Barouki, Robert] Univ Paris, INSERM, Paris, France; [Garric, Jeanne] Inst Natl Rech Agr Alimentat & Environm INRAE, UR Riverly, F-69625 Villeurbanne, France; [Gruetzmacher, Kim] Leibniz Inst Evolut & Biodivers Sci, Museum Nat Kunde, Berlin, Germany; [Guegan, Jean-Francois; Hurtrez-Bousses, Sylvie] Univ Montpellier, CNRS, IRD, MIVEGEC, Montpellier, France; [Hurtrez-Bousses, Sylvie] Univ Montpellier, Fac Sci, Dept Biol Ecol, Montpellier, France; [Huss, Anke; Vermeulen, Roel] Univ Utrecht, Utrecht, Netherlands; [Morand, Serge] Kasetsart Univ, Fac Vet Technol, CNRS, UMR ASTRE,CIRAD,INRAE, Bangkok, Thailand; [Palmer, Clare] Texas A&M Univ, Dept Philosophy, YMCA Bldg, College Stn, TX 77843 USA; [Sarigiannis, Denis] Aristotle Univ Thessaloniki, Thessaloniki 54164, Greece; [Sarigiannis, Denis] Univ Sch Adv Study IUSS, Pavia, Italy		Destoumieux-Garzon, D (corresponding author), Univ Montpellier, Univ Perpignan Via Domitia, CNRS, IFREMER,IHPE, Montpellier, France.; Matthies-Wiesler, F (corresponding author), German Res Ctr Environm Hlth, Helmholtz Zentrum Munchen, Inst Epidemiol, Munich, Germany.	ddestoum@ifremer.fr; franziska.matthies@helmholtz-muenchen.de								6	6											JAN	2022	158								106915	10.1016/j.envint.2021.106915	http://dx.doi.org/10.1016/j.envint.2021.106915		OCT 2021		Environmental Sciences				34634622				2023-09-28	WOS:000709996200001
J	Liu, Y; He, FL				Liu, Yu; He, Fangliang			Warming shifts soil microbial communities and tropical tree seedling mortality	ECOLOGY				Article								Plant-soil feedback (PSF), regulated by both mycorrhizae and soil-borne pathogens, is a primary mechanism maintaining high tree species diversity in the tropics. But how warming actually affects PSF is not well understood. We conducted a field warming experiment to test PSF on seedling mortality of two tree species: a rhizobia-associated tree (Ormosia semicastrata, Fabaceae) suffering from host-specific soil-borne pathogens and an ectomycorrhizal fungi-associated tree (Cyclobalanopsis patelliormis, Fagaceae) with low susceptibility to soil-borne pathogens. Soil fungi from the warming versus control seedling plots were identified by molecular sequencing. Results showed that the elevated temperature lowered seedling mortality of O. semicastrata, but had no effect on C. patelliormis seedlings. This indicates that warming weakened the negative PSF on O. semicastrata, presumably due to the observed decrease of the relative abundance of plant-pathogenic fungi and increase of ectomycorrhizal fungi but did not affect the PSF on C. patelliormis. The differential warming effects on seedling mortality of species with different microbial associations affords an example showcasing how the change in soil-borne microbes in response to global warming would, in turn, through PSF, alter tropical tree species composition and diversity. This study helps shed mechanistic light on the debate of biodiversity change as driven by climate change.	[Liu, Yu; He, Fangliang] East China Normal Univ, Sch Ecol & Environm Sci, Tiantong Natl Stn Forest Ecosyst Res, ECNU Alberta Joint Lab Biodivers Study, Shanghai, Peoples R China; [Liu, Yu] Shanghai Inst Pollut Control & Ecol Secur, Shanghai, Peoples R China; [He, Fangliang] Univ Alberta, Dept Renewable Resources, Edmonton, AB, Canada		He, FL (corresponding author), East China Normal Univ, Sch Ecol & Environm Sci, Tiantong Natl Stn Forest Ecosyst Res, ECNU Alberta Joint Lab Biodivers Study, Shanghai, Peoples R China.; He, FL (corresponding author), Univ Alberta, Dept Renewable Resources, Edmonton, AB, Canada.	fhe@ualberta.ca								0	0											DEC	2022	103	12							e3810	10.1002/ecy.3810	http://dx.doi.org/10.1002/ecy.3810		SEP 2022		Ecology				35796422				2023-09-28	WOS:000851491000001
J	Traill, LW; Bradshaw, CJA; Field, HE; Brook, BW				Traill, Lochran W.; Bradshaw, Corey J. A.; Field, Hume E.; Brook, Barry W.			Climate Change Enhances the Potential Impact of Infectious Disease and Harvest on Tropical Waterfowl	BIOTROPICA				Review								Global warming exacerbates threats to biodiversity as ecological systems shift in response to altered climatic conditions. Yet the long-term survival of populations at direct risk from climate change may also be undermined by local factors such as infectious disease or anthropogenic harvest, which leave smaller and more isolated populations increasingly vulnerable to the rapid pace of global change. We review current and future threats to an exemplar tropical waterfowl species, magpie geese Anseranas semipalmata, and focus on the potential synergies between infectious diseases, harvest, and climate change. We outline viral, bacterial, and fungal pathogens likely to cause disease in geese, and give mention to parasites. Further, we elaborate on a previously developed, spatially explicit population viability model to simulate demographic responses to hunting and novel or enhanced disease outbreaks due to climate change. With no harvest, the simulated disease epizootics only threatened metapopulation viability when both mortality rate was high and outbreaks were regular (a threshold response). However, when contemporary site-specific harvest is included as an additive impact, the response to disease severity and probability was linear. We recommend field research to test these hypotheses linking drivers of waterfowl population decline to disease-climate change interactions.	[Traill, Lochran W.; Bradshaw, Corey J. A.; Brook, Barry W.] Univ Adelaide, Res Inst Climate Change & Sustainabil, Sch Earth & Environm Sci, Adelaide, SA 5005, Australia; [Bradshaw, Corey J. A.] S Australian Res & Dev Inst, Henley Beach, SA 5022, Australia; [Field, Hume E.] Biosecur Queensland, Dept Primary Ind & Fisheries, Yeerongpilly, Qld 4105, Australia		Traill, LW (corresponding author), Univ Adelaide, Res Inst Climate Change & Sustainabil, Sch Earth & Environm Sci, Adelaide, SA 5005, Australia.	lochran.traill@gmail.com								12	14											JUL	2009	41	4					414	423		10.1111/j.1744-7429.2009.00508.x	http://dx.doi.org/10.1111/j.1744-7429.2009.00508.x				Ecology								2023-09-28	WOS:000267538200004
J	Kutz, SJ; Jenkins, EJ; Veitch, AM; Ducrocq, J; Polley, L; Elkin, B; Lair, S				Kutz, Susan J.; Jenkins, Emily J.; Veitch, Alasdair M.; Ducrocq, Julie; Polley, Lydden; Elkin, Brett; Lair, Stephane			The Arctic as a model for anticipating, preventing, and mitigating climate change impacts on host-parasite interactions	VETERINARY PARASITOLOGY				Article; Proceedings Paper	22nd International Conference of the World-Association-for-the-Advancement-of-Veterinary-Parasitology (WAAVP)	AUG 08-13, 2009	Calgary, CANADA					Climate change is influencing the structure and function of natural ecosystems around the world, including host-parasite interactions and disease emergence. Understanding the influence of climate change on infectious disease at temperate and tropical latitudes can be challenging because of numerous complicating biological, social, and political factors. Arctic and Subarctic regions may be particularly good models for unraveling the impacts of climate change on parasite ecology because they are relatively simple systems with low biological diversity and few other complicating anthropogenic factors. We examine some changing dynamics of host-parasite interactions at high latitudes and use these to illustrate a framework for approaching understanding, preventing, and mitigating climate change impacts on infectious disease, including zoonoses, in wildlife. (C) 2009 Published by Elsevier B.V.	[Kutz, Susan J.; Jenkins, Emily J.; Veitch, Alasdair M.; Ducrocq, Julie; Polley, Lydden; Elkin, Brett; Lair, Stephane] Univ Calgary, Dept Ecosyst & Publ Hlth, Fac Vet Med, Calgary, AB T2N 4N1, Canada		Kutz, SJ (corresponding author), Univ Calgary, Dept Ecosyst & Publ Hlth, Fac Vet Med, 3330 Hosp Dr NW, Calgary, AB T2N 4N1, Canada.	skutz@ucalgary.ca								125	135											AUG 7	2009	163	3			SI		217	228		10.1016/j.vetpar.2009.06.008	http://dx.doi.org/10.1016/j.vetpar.2009.06.008				Parasitology; Veterinary Sciences				19560274				2023-09-28	WOS:000268648000005
J	Nunn, CL; Altizer, SM; Sechrest, W; Cunningham, AA				Nunn, CL; Altizer, SM; Sechrest, W; Cunningham, AA			Latitudinal gradients of parasite species richness in primates	DIVERSITY AND DISTRIBUTIONS				Article								Infectious disease risk is thought to increase in the tropics, but little is known about latitudinal gradients of parasite diversity. We used a comparative data set encompassing 330 parasite species reported from 119 primate hosts to examine latitudinal gradients in the diversity of micro and macroparasites per primate host species. Analyses conducted with and without controlling for host phylogeny showed that parasite species richness increased closer to the equator for protozoan parasites, but not for viruses or helminths. Relative to other major parasite groups, protozoa reported from wild primates were transmitted disproportionately by arthropod vectors. Within the protozoa, our results revealed that vector-borne parasites showed a highly significant latitudinal gradient in species richness. This higher diversity of vector-borne protozoa near the tropics could be influenced by a greater abundance or diversity of biting arthropods in the tropics, or by climatic effects on vector behaviour and parasite development. Many vector-borne diseases, such as leishmaniasis, trypanosomiasis, and malaria pose risks to both humans and wildlife, and nearly one-third of the protozoan parasites from free-living primates in our data set have been reported to infect humans. Because the geographical distribution and prevalence of many vector-borne parasites are expected to increase because of global warming, these results are important for predicting future parasite-mediated threats to biodiversity and human health.	Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA; Emory Univ, Dept Environm Studies, Atlanta, GA 30322 USA; Univ Virginia, Dept Biol, Charlottesville, VA 22904 USA; Zool Soc London, Inst Zool, London NW1 4RY, England		Nunn, CL (corresponding author), Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.	cnunn@berkeley.edu								127	130											MAY	2005	11	3					249	256		10.1111/j.1366-9516.2005.00160.x	http://dx.doi.org/10.1111/j.1366-9516.2005.00160.x				Biodiversity Conservation; Ecology								2023-09-28	WOS:000228720600009
J	Rohr, JR; Raffel, TR; Blaustein, AR; Johnson, PTJ; Paull, SH; Young, S				Rohr, Jason R.; Raffel, Thomas R.; Blaustein, Andrew R.; Johnson, Pieter T. J.; Paull, Sara H.; Young, Suzanne			Using physiology to understand climate-driven changes in disease and their implications for conservation	CONSERVATION PHYSIOLOGY				Review								Controversy persists regarding the contributions of climate change to biodiversity losses, through its effects on the spread and emergence of infectious diseases. One of the reasons for this controversy is that there are few mechanistic studies that explore the links among climate change, infectious disease, and declines of host populations. Given that host-parasite interactions are generally mediated by physiological responses, we submit that physiological models could facilitate the prediction of how host-parasite interactions will respond to climate change, and might offer theoretical and terminological cohesion that has been lacking in the climate change-disease literature. We stress that much of the work on how climate influences host-parasite interactions has emphasized changes in climatic means, despite a hallmark of climate change being changes in climatic variability and extremes. Owing to this gap, we highlight how temporal variability in weather, coupled with non-linearities in responses to mean climate, can be used to predict the effects of climate on host-parasite interactions. We also discuss the climate variability hypothesis for disease-related declines, which posits that increased unpredictable temperature variability might provide a temporary advantage to pathogens because they are smaller and have faster metabolisms than their hosts, allowing more rapid acclimatization following a temperature shift. In support of these hypotheses, we provide case studies on the role of climatic variability in host population declines associated with the emergence of the infectious diseases chytridiomycosis, withering syndrome, and malaria. Finally, we present a mathematical model that provides the scaffolding to integrate metabolic theory, physiological mechanisms, and large-scale spatiotemporal processes to predict how simultaneous changes in climatic means, variances, and extremes will affect host-parasite interactions. However, several outstanding questions remain to be answered before investigators can accurately predict how changes in climatic means and variances will affect infectious diseases and the conservation status of host populations.	[Rohr, Jason R.; Young, Suzanne] Univ S Florida, Integrat Biol, Tampa, FL 33620 USA; [Raffel, Thomas R.] Oakland Univ, Dept Biol Sci, Rochester, MI 48309 USA; [Blaustein, Andrew R.] Oregon State Univ, Dept Zool, Corvallis, OR 97331 USA; [Johnson, Pieter T. J.; Paull, Sara H.] Univ Colorado, Dept Ecol & Evolutionary Biol, Boulder, CO 80309 USA		Rohr, JR (corresponding author), Univ S Florida, Integrat Biol, Tampa, FL 33620 USA.	jasonrohr@gmail.com								52	52												2013	1	1							cot022	10.1093/conphys/cot022	http://dx.doi.org/10.1093/conphys/cot022				Biodiversity Conservation; Ecology; Environmental Sciences; Physiology				27293606				2023-09-28	WOS:000209703700027
J	Liu, Y; He, FL				Liu, Yu; He, Fangliang			Warming intensifies soil pathogen negative feedback on a temperate tree	NEW PHYTOLOGIST				Article								The soil pathogen-induced Janzen-Connell (JC) effect is considered as a primary mechanism regulating plant biodiversity worldwide. As predicted by the framework of the classic plant disease triangle, severity of plant diseases is often influenced by temperature, yet insufficient understanding of how increasing temperatures affect the JC effect contributes uncertainty in predictions about how global warming affects biodiversity. We conducted a 3-yr field warming experiment, combining open-top chambers with pesticide treatment, to test the effect of elevated temperatures on seedling mortality of a temperate tree species, Prunus padus, from a genus with known susceptibility to soil-borne pathogens. Elevated temperature significantly increased the mortality of P. padus seedlings in the immediate vicinity of parent trees, concurrent with increased relative abundance of pathogenic fungi identified to be virulent to Prunus species. Our study offers experimental evidence suggesting that global warming significantly intensifies the JC effect on a temperate tree species due to increased relative abundance of pathogenic fungi. This work advances our understanding about changes in the JC effect linked to ongoing global warming, which has important implications for predicting tree diversity in a warmer future.	[Liu, Yu; He, Fangliang] East China Normal Univ, Sch Ecol & Environm Sci, Tiantong Natl Stn Forest Ecosyst Res, ECNU Alberta Joint Lab Biodivers Study, Shanghai 200241, Peoples R China; [Liu, Yu] Shanghai Inst Pollut Control & Ecol Secur, Shanghai 200092, Peoples R China; [He, Fangliang] Univ Alberta, Dept Renewable Resources, Edmonton, AB T6G 2H1, Canada		He, FL (corresponding author), East China Normal Univ, Sch Ecol & Environm Sci, Tiantong Natl Stn Forest Ecosyst Res, ECNU Alberta Joint Lab Biodivers Study, Shanghai 200241, Peoples R China.; He, FL (corresponding author), Univ Alberta, Dept Renewable Resources, Edmonton, AB T6G 2H1, Canada.	fhe@ualberta.ca								6	7											SEP	2021	231	6					2297	2307		10.1111/nph.17409	http://dx.doi.org/10.1111/nph.17409		JUL 2021		Plant Sciences				33891310				2023-09-28	WOS:000674061700001
J	Griebel, A; Watson, D; Pendall, E				Griebel, Anne; Watson, David; Pendall, Elise			Mistletoe, friend and foe: synthesizing ecosystem implications of mistletoe infection	ENVIRONMENTAL RESEARCH LETTERS				Article								Biotic disturbances are affecting a wide range of tree species in all climates, and their occurrence is contributing to increasing rates of tree mortality globally. Mistletoe is a widespread group of parasitic plants that establishes long-lasting relationships with a diverse range of host tree species. With climate change, ecophysiological stress is increasing, potentially making trees more susceptible to mistletoe infection, which in turn leads to higher forest mortality rates. The perception of mistletoe presence in individual trees and forest stands is divided within the scientific community, leading to an ongoing debate regarding its impacts. Forest managers concerned about stand health and carbon sequestration may view mistletoe as a foe that leads to reduced productivity. In contrast, ecologists may see mistletoe as a friend, in light of the wildlife habitat, biodiversity and nutrient cycling it promotes. However, individual studies typically focus on isolated effects of mistletoe presence within their respective research area and lack a balanced, interdisciplinary perspective of mistletoe disturbance. With this conceptual paper we aim to bring together the positive and negative impacts of mistletoe presence on tree physiology, soil nutrient cycling as well as stand health and stand dynamics. We focus on the role of mistletoe-induced tree mortality in ecosystem succession and biodiversity. In addition, we present potential modifications of mistletoe presence on the energy budget and on forest vulnerability to climate change, which could feed back into stand dynamics and disturbance patterns. Lastly, we will identify the most pressing remaining knowledge gaps and highlight priorities for future research on this widespread agent of biotic disturbance.	[Griebel, Anne; Pendall, Elise] Western Sydney Univ, Hawkesbury Inst Environm, Locked Bag 1797, Penrith, NSW, Australia; [Watson, David] Charles Sturt Univ, Inst Land Water & Soc, POB 789, Albury, NSW, Australia		Griebel, A (corresponding author), Western Sydney Univ, Hawkesbury Inst Environm, Locked Bag 1797, Penrith, NSW, Australia.	griebel.anne@gmail.com								42	45											NOV	2017	12	11							115012	10.1088/1748-9326/aa8fff	http://dx.doi.org/10.1088/1748-9326/aa8fff				Environmental Sciences; Meteorology & Atmospheric Sciences								2023-09-28	WOS:000415870000001
