Publication Years	Record Count	% of 14,425
2021	2342	16.236
2020	1846	12.797
2019	1434	9.941
2018	1208	8.374
2017	997	6.912
2016	984	6.821
2015	902	6.253
2014	804	5.574
2013	740	5.130
2012	603	4.180
2011	572	3.965
2010	468	3.244
2009	349	2.419
2008	266	1.844
2007	179	1.241
2006	135	0.936
2005	107	0.742
2004	76	0.527
2002	64	0.444
2003	59	0.409
2001	49	0.340
2000	45	0.312
1997	33	0.229
1999	28	0.194
1992	25	0.173
1996	25	0.173
1995	24	0.166
1998	22	0.153
1994	14	0.097
1993	13	0.090
1991	10	0.069
1988	1	0.007
1990	1	0.007
