Publication Years	Record Count	% of 205,460
2021	19274	9.381
2020	17460	8.498
2019	15714	7.648
2018	13953	6.791
2017	12901	6.279
2016	12310	5.991
2015	11921	5.802
2014	10961	5.335
2013	10333	5.029
2012	9705	4.724
2011	9009	4.385
2010	7949	3.869
2009	7029	3.421
2008	6390	3.110
2007	5489	2.672
2006	4871	2.371
2005	4263	2.075
2004	3487	1.697
2003	3249	1.581
2002	2839	1.382
2001	2482	1.208
2000	2241	1.091
1999	2060	1.003
1998	1818	0.885
1997	1483	0.722
1996	1354	0.659
1995	1147	0.558
1994	999	0.486
1993	769	0.374
1992	713	0.347
1991	510	0.248
1990	140	0.068
1989	91	0.044
1988	74	0.036
1987	60	0.029
1985	47	0.023
1986	45	0.022
1983	42	0.020
1984	41	0.020
1978	40	0.019
1982	38	0.018
1976	32	0.016
1977	32	0.016
1979	31	0.015
1980	27	0.013
1981	24	0.012
1975	13	0.006
