Publication Years	Record Count	% of 228,875
2021	32296	14.111
2020	26767	11.695
2019	22320	9.752
2018	18617	8.134
2017	16503	7.210
2016	15138	6.614
2015	13705	5.988
2014	12466	5.447
2013	11767	5.141
2012	10031	4.383
2011	8624	3.768
2010	7206	3.148
2009	5920	2.587
2008	4778	2.088
2007	3646	1.593
2006	2683	1.172
2005	2292	1.001
2004	1862	0.814
2003	1637	0.715
2002	1443	0.630
2001	1354	0.592
2000	1252	0.547
1999	1125	0.492
1998	920	0.402
1997	855	0.374
1996	696	0.304
1995	685	0.299
1994	565	0.247
1993	499	0.218
1992	484	0.211
1991	370	0.162
1990	168	0.073
1989	78	0.034
1988	23	0.010
1986	14	0.006
1987	14	0.006
1982	11	0.005
1983	11	0.005
1978	9	0.004
1979	9	0.004
1980	6	0.003
1985	6	0.003
1975	5	0.002
1977	5	0.002
1981	4	0.002
1984	4	0.002
1976	2	0.001
