Publication Years	Record Count	% of 15,511
2021	1725	11.121
2020	1522	9.812
2019	1350	8.704
2018	1150	7.414
2017	1064	6.860
2016	1035	6.673
2015	925	5.964
2014	840	5.416
2013	789	5.087
2012	744	4.797
2011	596	3.842
2010	535	3.449
2009	444	2.862
2008	383	2.469
2007	328	2.115
2006	301	1.941
2005	257	1.657
2004	235	1.515
2003	192	1.238
2002	163	1.051
2001	156	1.006
2000	142	0.915
1999	114	0.735
1998	110	0.709
1997	93	0.600
1996	73	0.471
1995	63	0.406
1994	53	0.342
1993	50	0.322
1992	36	0.232
1991	26	0.168
1990	5	0.032
1979	3	0.019
1985	3	0.019
1975	1	0.006
1976	1	0.006
1978	1	0.006
1983	1	0.006
1987	1	0.006
1988	1	0.006
