Publication Years	Record Count	% of 1,194,424
2021	101314	8.482
2020	90563	7.582
2019	75999	6.363
2018	67410	5.644
2017	64193	5.374
2016	61653	5.162
2015	59333	4.967
2014	56182	4.704
2013	53677	4.494
2012	50465	4.225
2011	46433	3.887
2010	41412	3.467
2009	37954	3.178
2008	35891	3.005
2007	31941	2.674
2006	29338	2.456
2005	27168	2.275
2004	24971	2.091
2003	23078	1.932
2002	21187	1.774
2001	20153	1.687
2000	19103	1.599
1999	18107	1.516
1998	17184	1.439
1997	16082	1.346
1996	15567	1.303
1995	13160	1.102
1994	12106	1.014
1993	11497	0.963
1992	11152	0.934
1991	10354	0.867
1990	3018	0.253
1989	2305	0.193
1987	2276	0.191
1988	2212	0.185
1986	2056	0.172
1984	1987	0.166
1983	1925	0.161
1985	1904	0.159
1982	1860	0.156
1981	1687	0.141
1979	1629	0.136
1980	1601	0.134
1978	1593	0.133
1977	1575	0.132
1976	1152	0.096
1975	1017	0.085
