Author(s),Year,Title,Journal,Mechanisms Identified,Location,Data source,Ecosystem,Taxon,Notes,Other Mechanisms,N
Adams et al.,2017,"Extreme drought, host density, sex, and bullfrogs influence fungal
   pathogen infection in a declining lotic amphibian",Ecosphere,climatic pulse events,USA,empirical,freshwater,amphibians,Bd,,1
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,precipitation,Global,literature,freshwater,amphibians,,,0.333
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,temperature,Global,literature,freshwater,amphibians,,,0.333
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,UV,Global,literature,freshwater,amphibians,,,0.333
Blaustein et al.,2012,"Ecophysiology meets conservation: understanding the role of disease in
   amphibian population declines",Philosophical Transactions of the Royal Society B,behavior,Global,literature,freshwater,amphibians,host–pathogen interactions,,1
Bosch et al.,2018,"Long-term monitoring of an amphibian community after a climate change-
   and infectious disease-driven species extirpation",Global Change Biology,species decline,Spain,empirical,freshwater,amphibians,Bd,,1
Clare et al.,2016,"Climate forcing of an emerging pathogenic fungus across a montane
   multi-host community",Philosophical Transactions of the Royal Society B,temperature,France,empirical,freshwater,amphibians,Bd,,1
Collins,2010,Amphibian decline and extinction: What we know and what we need to learn,Diseases of Aquatic Organisms,thermal mismatch,Global,literature,freshwater,amphibians,Bd,,1
Edwards & Gordon,2021,"HELMINTH DIVERSITY OF GREEN TREEFROGS (HYLA CINEREA) IN THEIR EXPANDED
   GEOGRAPHICAL RANGE",Journal of Parasitology,migration,USA,empirical,freshwater,amphibians,helminths in tree frogs,,1
Herath et al.,2021,"Patterns of infection, origins, and transmission of ranaviruses among
   the ectothermic vertebrates of Asia",Ecology and Evolution,NA,Asia,literature,freshwater,amphibians,ranavirus,,1
Liu et al. ,2013,"Climate, vegetation, introduced hosts and trade shape a global wildlife
   pandemic",Proceedings of the Royal Society B,invasive species,Global,empirical,freshwater,amphibians,Bd,,1
